coach_name,team_name
Dino Zoff,Italy national under-23 football team
Dino Zoff,Juventus FC
Dino Zoff,SS Lazio
Dino Zoff,SS Lazio
Dino Zoff,Italy men's national association football team
Dino Zoff,SS Lazio
Dino Zoff,ACF Fiorentina
Zbigniew Boniek,US Lecce
Sven-Göran Eriksson,Degerfors IF
Sven-Göran Eriksson,IFK Göteborg
Sven-Göran Eriksson,S.L. Benfica
Sven-Göran Eriksson,A.S. Roma
Sven-Göran Eriksson,ACF Fiorentina
Sven-Göran Eriksson,S.L. Benfica
Sven-Göran Eriksson,U.C. Sampdoria
Sven-Göran Eriksson,SS Lazio
Sven-Göran Eriksson,England men's national association football team
Sven-Göran Eriksson,Manchester City F.C.
Sven-Göran Eriksson,Mexico men's national football team
Sven-Göran Eriksson,Ivory Coast men's national football team
Sven-Göran Eriksson,Leicester City F.C.
Sven-Göran Eriksson,Guangzhou City F.C.
Sven-Göran Eriksson,Shanghai Port F.C.
Sven-Göran Eriksson,Shenzhen F.C.
Sven-Göran Eriksson,Philippines men's national association football team
Eugenio Corini,Brescia Calcio
Eugenio Corini,Brescia Calcio
Gianfranco Zola,Chelsea F.C.
Rudi Völler,Bayer 04 Leverkusen
Rudi Völler,Germany men's national association football team
Rudi Völler,caretaker manager
Giuseppe Meazza,Atalanta BC
Giuseppe Meazza,Inter Milan
Giuseppe Meazza,Beşiktaş J.K.
Giuseppe Meazza,Aurora Pro Patria 1919
Giuseppe Meazza,Italy men's national association football team
Giuseppe Meazza,Inter Milan
Giuseppe Meazza,Inter Milan
Daniel Passarella,Club de Fútbol Monterrey
Alessandro Nesta,Miami FC
Alessandro Nesta,A.C. Perugia Calcio
Alessandro Nesta,Frosinone Calcio
Alessandro Nesta,A.C. Reggiana 1919
Alessandro Nesta,AC Monza
Clarence Seedorf,AC Milan
Clarence Seedorf,Deportivo de La Coruña
Luis Enrique,FC Barcelona Atlètic
Luis Enrique,A.S. Roma
Luis Enrique,RC Celta de Vigo
Luis Enrique,FC Barcelona
Luis Enrique,Spain men's national football team
Luis Enrique,Spain men's national football team
Luis Enrique,Paris Saint-Germain FC
Andriy Shevchenko,Ukraine men's national football team
Andriy Shevchenko,Genoa CFC
Claudio Ranieri,Vigor Lamezia
Claudio Ranieri,S.S.D. Puteolana 1902 Internapoli
Claudio Ranieri,S.S.D. Puteolana 1902 Internapoli
Claudio Ranieri,Cagliari Calcio
Claudio Ranieri,SSC Napoli
Claudio Ranieri,ACF Fiorentina
Claudio Ranieri,Valencia CF
Claudio Ranieri,Atlético de Madrid
Claudio Ranieri,Chelsea F.C.
Claudio Ranieri,Valencia CF
Claudio Ranieri,Parma Calcio 1913
Claudio Ranieri,Juventus FC
Claudio Ranieri,A.S. Roma
Claudio Ranieri,Inter Milan
Claudio Ranieri,AS Monaco FC
Claudio Ranieri,Greece men's national football team
Claudio Ranieri,Leicester City F.C.
Claudio Ranieri,FC Nantes
Claudio Ranieri,Fulham F.C.
Claudio Ranieri,A.S. Roma
Claudio Ranieri,U.C. Sampdoria
Claudio Ranieri,Watford F.C.
Claudio Ranieri,Cagliari Calcio
Claudio Ranieri,A.S. Roma
Fabio Capello,A.C. Milan Primavera
Fabio Capello,AC Milan
Fabio Capello,AC Milan
Fabio Capello,Real Madrid CF
Fabio Capello,AC Milan
Fabio Capello,A.S. Roma
Fabio Capello,Juventus FC
Fabio Capello,Real Madrid CF
Fabio Capello,England men's national association football team
Fabio Capello,Russia men's national football team
Fabio Capello,Jiangsu F.C.
Jesse Carver,Millwall F.C.
Frank de Boer,Netherlands national association football team
Frank de Boer,AFC Ajax
Frank de Boer,Inter Milan
Frank de Boer,Crystal Palace F.C.
Frank de Boer,Atlanta United FC
David Platt,Nottingham Forest F.C.
Rafa Benítez,Real Madrid Juvenil
Rafa Benítez,Real Madrid Castilla
Rafa Benítez,Real Madrid Castilla
Rafa Benítez,Real Valladolid
Rafa Benítez,Club Atlético Osasuna
Rafa Benítez,Extremadura UD
Rafa Benítez,C.D. Tenerife
Rafa Benítez,Valencia CF
Rafa Benítez,Liverpool F.C.
Rafa Benítez,Inter Milan
Rafa Benítez,Chelsea F.C.
Rafa Benítez,SSC Napoli
Rafa Benítez,Real Madrid CF
Rafa Benítez,Newcastle United F.C.
Rafa Benítez,Dalian Professional F.C.
Rafa Benítez,Everton F.C.
Rafa Benítez,RC Celta de Vigo
Gennaro Gattuso,Palermo F.C.
Gennaro Gattuso,O.F.I. Crete F.C.
Gennaro Gattuso,Pisa SC
Gennaro Gattuso,Pisa SC
Gennaro Gattuso,A.C. Milan Primavera
Gennaro Gattuso,AC Milan
Gennaro Gattuso,SSC Napoli
Gennaro Gattuso,Valencia CF
Gennaro Gattuso,Olympique de Marseille
Gennaro Gattuso,HNK Hajduk Split
Gennaro Gattuso,Italy men's national association football team
Igor Tudor,HNK Hajduk Split
Igor Tudor,P.A.O.K. F.C.
Igor Tudor,Kardemir Karabükspor
Igor Tudor,Galatasaray S.K.
Igor Tudor,Udinese Calcio
Igor Tudor,Udinese Calcio
Igor Tudor,HNK Hajduk Split
Igor Tudor,Hellas Verona FC
Igor Tudor,Olympique de Marseille
Igor Tudor,SS Lazio
Igor Tudor,Juventus FC
José Mourinho,S.L. Benfica
José Mourinho,U.D. Leiria
José Mourinho,FC Porto
José Mourinho,Chelsea F.C.
José Mourinho,Inter Milan
José Mourinho,Real Madrid CF
José Mourinho,Chelsea F.C.
José Mourinho,Manchester United F.C.
José Mourinho,Tottenham Hotspur F.C.
José Mourinho,A.S. Roma
José Mourinho,Fenerbahçe Istanbul
Giovanni Trapattoni,AC Milan
Giovanni Trapattoni,Juventus FC
Giovanni Trapattoni,Inter Milan
Giovanni Trapattoni,Juventus FC
Giovanni Trapattoni,FC Bayern Munich
Giovanni Trapattoni,Cagliari Calcio
Giovanni Trapattoni,FC Bayern Munich
Giovanni Trapattoni,ACF Fiorentina
Giovanni Trapattoni,Italy men's national association football team
Giovanni Trapattoni,S.L. Benfica
Giovanni Trapattoni,VfB Stuttgart
Giovanni Trapattoni,FC Red Bull Salzburg
Giovanni Trapattoni,Republic of Ireland men's national association football team
Filippo Inzaghi,AC Milan
Filippo Inzaghi,Venezia F.C.
Filippo Inzaghi,Bologna F.C. 1909
Filippo Inzaghi,Benevento Calcio
Filippo Inzaghi,Brescia Calcio
Filippo Inzaghi,AS Reggina 1914
Filippo Inzaghi,U.S. Salernitana 1919
Filippo Inzaghi,Pisa SC
Filippo Inzaghi,Palermo F.C.
Roberto Donadoni,Calcio Lecco 1912
Roberto Donadoni,Calcio Lecco 1912
Roberto Donadoni,US Livorno 1915
Roberto Donadoni,Genoa CFC
Roberto Donadoni,US Livorno 1915
Roberto Donadoni,Italy men's national association football team
Roberto Donadoni,SSC Napoli
Roberto Donadoni,Cagliari Calcio
Roberto Donadoni,Parma Calcio 1913
Roberto Donadoni,Bologna F.C. 1909
Roberto Donadoni,Shenzhen F.C.
Fabio Cannavaro,Guangzhou F.C.
Fabio Cannavaro,Benevento Calcio
Fabio Cannavaro,Udinese Calcio
Fabio Cannavaro,GNK Dinamo Zagreb
Paolo Vanoli,Chelsea F.C.
Gunnar Gren,AC Milan
Leonardo Araújo,AC Milan
Diego Simeone,Racing Club
Diego Simeone,Estudiantes de La Plata
Diego Simeone,Club Atlético River Plate
Diego Simeone,San Lorenzo de Almagro
Diego Simeone,Catania FC
Diego Simeone,Racing Club
Diego Simeone,Atlético de Madrid
Diego Simeone,SSC Napoli
Carlo Ancelotti,A.C. Reggiana 1919
Carlo Ancelotti,Parma Calcio 1913
Carlo Ancelotti,Juventus FC
Carlo Ancelotti,AC Milan
Carlo Ancelotti,Chelsea F.C.
Carlo Ancelotti,Paris Saint-Germain FC
Carlo Ancelotti,Real Madrid CF
Carlo Ancelotti,FC Bayern Munich
Carlo Ancelotti,SSC Napoli
Carlo Ancelotti,Everton F.C.
Carlo Ancelotti,Real Madrid CF
Carlo Ancelotti,Brazil men's national football team
Cristian Chivu,Parma Calcio 1913
Cristian Chivu,Inter Milan
Fatih Terim,MKE Ankaragücü
Fatih Terim,Göztepe S.K.
Fatih Terim,Turkey national under-21 football team
Fatih Terim,Turkey men's national football team
Fatih Terim,Galatasaray S.K.
Fatih Terim,ACF Fiorentina
Fatih Terim,AC Milan
Fatih Terim,Galatasaray S.K.
Fatih Terim,Turkey men's national football team
Fatih Terim,Turkey men's national football team
Fatih Terim,Galatasaray S.K.
Fatih Terim,Turkey men's national football team
Fatih Terim,Galatasaray S.K.
Fatih Terim,Panathinaikos F.C.
Fatih Terim,Al-Shabab Football Club
Siniša Mihajlović,Bologna F.C. 1909
Siniša Mihajlović,Catania FC
Siniša Mihajlović,ACF Fiorentina
Siniša Mihajlović,Serbia men's national football team
Siniša Mihajlović,U.C. Sampdoria
Siniša Mihajlović,AC Milan
Siniša Mihajlović,Torino FC
Siniša Mihajlović,Sporting CP
Siniša Mihajlović,Bologna F.C. 1909
Walter Zenga,New England Revolution
Walter Zenga,Brera Calcio
Walter Zenga,FC Progresul București
Walter Zenga,FCSB
Walter Zenga,FK Crvena zvezda
Walter Zenga,Gaziantepspor
Walter Zenga,FC Dinamo Bucharest
Walter Zenga,Catania FC
Walter Zenga,Palermo F.C.
Walter Zenga,Al-Nassr
Walter Zenga,Al-Nasr SC
Walter Zenga,Al Jazira Club
Walter Zenga,Al-Shaab CSC
Walter Zenga,U.C. Sampdoria
Walter Zenga,Wolverhampton Wanderers F.C.
Walter Zenga,F.C. Crotone
Walter Zenga,Venezia F.C.
Walter Zenga,Cagliari Calcio
Walter Zenga,Emirates Club
Tarcisio Burgnich,US Livorno 1915
Giovanni Ferrari,Juventus FC
Roberto Mancini,ACF Fiorentina
Roberto Mancini,SS Lazio
Roberto Mancini,Inter Milan
Roberto Mancini,Manchester City F.C.
Roberto Mancini,Galatasaray S.K.
Roberto Mancini,Inter Milan
Roberto Mancini,FC Zenit Saint Petersburg
Roberto Mancini,Italy men's national association football team
Roberto Mancini,Saudi Arabia men's national football team
Vincenzo Montella,Catania FC
Vincenzo Montella,ACF Fiorentina
Vincenzo Montella,U.C. Sampdoria
Vincenzo Montella,AC Milan
Vincenzo Montella,Sevilla FC
Vincenzo Montella,ACF Fiorentina
Vincenzo Montella,Adana Demirspor
Vincenzo Montella,Turkey men's national football team
Paulo Sousa,Queens Park Rangers F.C.
Alfredo Foni,Venezia F.C.
Luigi Di Biagio,Italy national under-21 football team
Nils Liedholm,AC Milan
Marcello Lippi,U.C. Sampdoria under-19
Marcello Lippi,U.S. Città di Pontedera S.S.D.
Marcello Lippi,Siena FC
Marcello Lippi,Pistoiese FC
Marcello Lippi,Carrarese Calcio
Marcello Lippi,AC Cesena
Marcello Lippi,Lucchese 1905
Marcello Lippi,Atalanta BC
Marcello Lippi,SSC Napoli
Marcello Lippi,Juventus FC
Marcello Lippi,Inter Milan
Marcello Lippi,Juventus FC
Marcello Lippi,Italy men's national association football team
Marcello Lippi,Italy men's national association football team
Marcello Lippi,Guangzhou F.C.
Marcello Lippi,China men's national football team
Mircea Lucescu,CS Corvinul Hunedoara
Mircea Lucescu,FC Dynamo Kyiv
Mircea Lucescu,Romania men's national association football team
Daniele De Rossi,SPAL
Daniele De Rossi,A.S. Roma
Carlos Bianchi,Paris Saint-Germain FC
Andrea Pirlo,Juventus F.C. Next Gen
Andrea Pirlo,Juventus FC
Andrea Pirlo,Fatih Karagümrük S.K.
Andrea Pirlo,U.C. Sampdoria
Massimo brambella,Club Atlético Peñarol
Cesare Maldini,AC Milan
Vittorio Pozzo,AC Milan
Ciro Ferrara,Juventus FC
Cesare Prandelli,Atalanta BC
Luigi Delneri,A.S.G. Nocerina
Dejan Stanković,FK Crvena zvezda
Dejan Stanković,U.C. Sampdoria
Thiago Motta,Genoa CFC
Thiago Motta,Spezia Calcio
Thiago Motta,Bologna F.C. 1909
Thiago Motta,Juventus FC
Roy Hodgson,Halmstads BK
Roy Hodgson,Bristol City F.C.
Roy Hodgson,Örebro SK
Roy Hodgson,Malmö FF
Roy Hodgson,Neuchâtel Xamax FCS
Roy Hodgson,Switzerland men's national football team
Roy Hodgson,Inter Milan
Roy Hodgson,Blackburn Rovers F.C.
Roy Hodgson,Inter Milan
Roy Hodgson,Grasshopper Club Zürich
Roy Hodgson,F.C. Copenhagen
Roy Hodgson,Udinese Calcio
Roy Hodgson,Emirates men's national football team
Roy Hodgson,Viking FK
Roy Hodgson,Finland men's national football team
Roy Hodgson,Fulham F.C.
Roy Hodgson,Liverpool F.C.
Roy Hodgson,West Bromwich Albion F.C.
Roy Hodgson,England men's national association football team
Roy Hodgson,Crystal Palace F.C.
Roy Hodgson,Watford F.C.
Roy Hodgson,Crystal Palace F.C.
Mauro Tassotti,AC Milan
Zdeněk Zeman,S.S.D. Licata 1931
Zdeněk Zeman,Calcio Foggia 1920
Zdeněk Zeman,Parma Calcio 1913
Zdeněk Zeman,A.C.R. Messina
Zdeněk Zeman,Calcio Foggia 1920
Zdeněk Zeman,SS Lazio
Zdeněk Zeman,A.S. Roma
Zdeněk Zeman,Fenerbahçe Istanbul
Zdeněk Zeman,SSC Napoli
Zdeněk Zeman,U.S. Salernitana 1919
Zdeněk Zeman,U.S. Avellino 1912
Zdeněk Zeman,US Lecce
Zdeněk Zeman,Brescia Calcio
Zdeněk Zeman,US Lecce
Zdeněk Zeman,FK Crvena zvezda
Zdeněk Zeman,Calcio Foggia 1920
Zdeněk Zeman,Delfino Pescara 1936
Zdeněk Zeman,A.S. Roma
Zdeněk Zeman,Cagliari Calcio
Zdeněk Zeman,Cagliari Calcio
Zdeněk Zeman,FC Lugano
Zdeněk Zeman,Delfino Pescara 1936
Walter Novellino,A.C. Perugia Calcio
Marcelo Bielsa,Leeds United F.C.
Marcelo Bielsa,Uruguay men's national football team
Helenio Herrera,Stade Français Football
Helenio Herrera,Real Valladolid
Helenio Herrera,Atlético de Madrid
Helenio Herrera,CD Málaga
Helenio Herrera,Deportivo de La Coruña
Helenio Herrera,Sevilla FC
Helenio Herrera,C.F. Os Belenenses
Helenio Herrera,FC Barcelona
Helenio Herrera,Inter Milan
Helenio Herrera,A.S. Roma
Helenio Herrera,A.S. Roma
Helenio Herrera,Inter Milan
Helenio Herrera,Rimini FC
Helenio Herrera,Rimini FC
Helenio Herrera,FC Barcelona
Helenio Herrera,FC Barcelona
Frank Soo,Scunthorpe United F.C.
Frank Soo,Djurgårdens IF Fotboll
Bill Dodgin,Southampton F.C.
Roberto Sensini,Udinese Calcio
Ferruccio Valcareggi,A.C. Prato
Sérgio Conceição,S.C. Olhanense
Sérgio Conceição,Associação Académica de Coimbra – O.A.F.
Sérgio Conceição,S.C. Braga
Sérgio Conceição,Vitória S.C.
Sérgio Conceição,FC Nantes
Sérgio Conceição,FC Porto
Sérgio Conceição,AC Milan
Alberto Zaccheroni,AC Milan
Luciano Spalletti,Empoli FC
Luciano Spalletti,Empoli FC
Luciano Spalletti,U.C. Sampdoria
Luciano Spalletti,U.C. Sampdoria
Luciano Spalletti,Venezia F.C.
Luciano Spalletti,Venezia F.C.
Luciano Spalletti,Udinese Calcio
Luciano Spalletti,A.C. Ancona
Luciano Spalletti,Udinese Calcio
Luciano Spalletti,A.S. Roma
Luciano Spalletti,FC Zenit Saint Petersburg
Luciano Spalletti,A.S. Roma
Luciano Spalletti,Inter Milan
Luciano Spalletti,SSC Napoli
Luciano Spalletti,Italy men's national association football team
Nevio Scala,AS Reggina 1914
Arrigo Sacchi,Rimini FC
Arrigo Sacchi,Rimini FC
Arrigo Sacchi,Parma Calcio 1913
Arrigo Sacchi,AC Milan
Arrigo Sacchi,Italy men's national association football team
Arrigo Sacchi,AC Milan
Arrigo Sacchi,Atlético de Madrid
Arrigo Sacchi,Parma Calcio 1913
Simone Inzaghi,SS Lazio
Simone Inzaghi,Inter Milan
Simone Inzaghi,Al Hilal SFC
Luigi Simoni,Genoa CFC
Luigi Simoni,Brescia Calcio
Luigi Simoni,Genoa CFC
Luigi Simoni,Pisa SC
Luigi Simoni,SS Lazio
Luigi Simoni,Pisa SC
Luigi Simoni,Genoa CFC
Luigi Simoni,Empoli FC
Luigi Simoni,Cosenza Calcio
Luigi Simoni,Carrarese Calcio
Luigi Simoni,U.S. Cremonese
Luigi Simoni,SSC Napoli
Luigi Simoni,Inter Milan
Luigi Simoni,Piacenza Calcio
Luigi Simoni,Torino FC
Luigi Simoni,PFC CSKA Sofia
Luigi Simoni,SSC Ancona
Luigi Simoni,SSC Napoli
Luigi Simoni,Siena FC
Luigi Simoni,Lucchese 1905
Luigi Simoni,A.S. Gubbio 1910
Luigi Simoni,A.S. Gubbio 1910
Lajos Czeizler,AC Milan
Massimo Oddo,Delfino Pescara 1936
Fabio Grosso,SSC Bari
Fabio Grosso,Hellas Verona FC
Fabio Grosso,Brescia Calcio
Fabio Grosso,FC Sion
Fabio Grosso,Frosinone Calcio
Fabio Grosso,Olympique Lyonnais
Fabio Grosso,US Sassuolo Calcio
Cristian Brocchi,AC Milan
Franco Scoglio,A.S.D Gioiese 1918
Franco Scoglio,A.C.R. Messina
Franco Scoglio,A.C.R. Messina
Franco Scoglio,A.S.D Gioiese 1918
Franco Scoglio,Città di Acireale 1946
Franco Scoglio,Spezia Calcio
Franco Scoglio,AS Reggina 1914
Franco Scoglio,A.C.R. Messina
Franco Scoglio,F.C. Crotone
Franco Scoglio,A.S.D Gioiese 1918
Franco Scoglio,AS Reggina 1914
Franco Scoglio,ASD Akragas 2018
Franco Scoglio,A.C.R. Messina
Franco Scoglio,Genoa CFC
Franco Scoglio,Bologna F.C. 1909
Franco Scoglio,Udinese Calcio
Franco Scoglio,Lucchese 1905
Franco Scoglio,Delfino Pescara 1936
Franco Scoglio,Genoa CFC
Franco Scoglio,Torino FC
Franco Scoglio,Cosenza Calcio
Franco Scoglio,A.C. Ancona
Franco Scoglio,Tunisia men's national football team
Franco Scoglio,Genoa CFC
Franco Scoglio,Libya men's national football team
Franco Scoglio,SSC Napoli
Juan Carlos Lorenzo,RCD Mallorca
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Argentina men's national association football team
Juan Carlos Lorenzo,SS Lazio
Juan Carlos Lorenzo,A.S. Roma
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Argentina men's national association football team
Juan Carlos Lorenzo,Club Atlético River Plate
Juan Carlos Lorenzo,RCD Mallorca
Juan Carlos Lorenzo,SS Lazio
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Atlético de Madrid
Juan Carlos Lorenzo,Unión de Santa Fe
Juan Carlos Lorenzo,Boca Juniors
Juan Carlos Lorenzo,Racing Club
Juan Carlos Lorenzo,Argentinos Juniors
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Club Atlético Vélez Sarsfield
Juan Carlos Lorenzo,Club Atlético Atlanta
Juan Carlos Lorenzo,Independiente Santa Fe
Juan Carlos Lorenzo,SS Lazio
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Boca Juniors
Francesco Guidolin,Swansea City A.F.C.
Nereo Rocco,AC Milan
Nedo Sonetti,Viareggio Calcio
Nedo Sonetti,A.S.D. Casertana Calcio
Nedo Sonetti,Spezia Calcio
Nedo Sonetti,Cosenza Calcio
Nedo Sonetti,S.S. Sambenedettese Calcio
Nedo Sonetti,Atalanta BC
Nedo Sonetti,Udinese Calcio
Nedo Sonetti,U.S. Avellino 1912
Nedo Sonetti,Ascoli Calcio 1898 FC
Nedo Sonetti,Bologna F.C. 1909
Nedo Sonetti,US Lecce
Nedo Sonetti,AC Monza
Nedo Sonetti,Torino FC
Nedo Sonetti,U.S. Cremonese
Nedo Sonetti,US Lecce
Nedo Sonetti,Brescia Calcio
Nedo Sonetti,U.S. Salernitana 1919
Nedo Sonetti,Cagliari Calcio
Nedo Sonetti,Palermo F.C.
Nedo Sonetti,A.C. Ancona
Nedo Sonetti,Catania FC
Nedo Sonetti,Cagliari Calcio
Nedo Sonetti,Ascoli Calcio 1898 FC
Nedo Sonetti,Cagliari Calcio
Nedo Sonetti,Brescia Calcio
