coachName,nationality,nationality2,teamName,teamCountry
Dino Zoff,Italy,,Juventus FC,Italy
Dino Zoff,Italy,,ACF Fiorentina,Italy
Dino Zoff,Italy,,SS Lazio,Italy
Dino Zoff,Italy,,SS Lazio,Italy
Dino Zoff,Italy,,SS Lazio,Italy
Dino Zoff,Italy,,Italy national under-23 football team,National
Dino Zoff,Italy,,Italy men's national association football team,National
Zbigniew Boniek,Poland,,US Lecce,Italy
Sven-Göran Eriksson,Sweden,,Shenzhen F.C.,People's Republic of China
Sven-Göran Eriksson,Sweden,,Degerfors IF,Sweden
Sven-Göran Eriksson,Sweden,,Guangzhou City F.C.,People's Republic of China
Sven-Göran Eriksson,Sweden,,S.L. Benfica,Portugal
Sven-Göran Eriksson,Sweden,,S.L. Benfica,Portugal
Sven-Göran Eriksson,Sweden,,U.C. Sampdoria,Italy
Sven-Göran Eriksson,Sweden,,Mexico men's national football team,National
Sven-Göran Eriksson,Sweden,,Ivory Coast men's national football team,National
Sven-Göran Eriksson,Sweden,,Leicester City F.C.,United Kingdom
Sven-Göran Eriksson,Sweden,,IFK Göteborg,Sweden
Sven-Göran Eriksson,Sweden,,ACF Fiorentina,Italy
Sven-Göran Eriksson,Sweden,,Philippines men's national association football team,National
Sven-Göran Eriksson,Sweden,,SS Lazio,Italy
Sven-Göran Eriksson,Sweden,,A.S. Roma,Italy
Sven-Göran Eriksson,Sweden,,England men's national association football team,National
Sven-Göran Eriksson,Sweden,,Manchester City F.C.,United Kingdom
Sven-Göran Eriksson,Sweden,,Shanghai Port F.C.,People's Republic of China
Eugenio Corini,Italy,,Brescia Calcio,Italy
Eugenio Corini,Italy,,Brescia Calcio,Italy
Gianfranco Zola,Italy,,Chelsea F.C.,United Kingdom
Rudi Völler,Germany,,Bayer 04 Leverkusen,Germany
Rudi Völler,Germany,,caretaker manager,
Rudi Völler,Germany,,Germany men's national association football team,National
Giuseppe Meazza,Italy,,Beşiktaş J.K.,Turkey
Giuseppe Meazza,Italy,,Atalanta BC,Italy
Giuseppe Meazza,Italy,,Inter Milan,Italy
Giuseppe Meazza,Italy,,Inter Milan,Italy
Giuseppe Meazza,Italy,,Inter Milan,Italy
