name,wikidata.id,birthdate,nationality,nationality2
Dino Zoff,Q180661,1942-02-28T00:00:00Z,Italy,
Zbigniew Boniek,Q68039,1956-03-03T00:00:00Z,Poland,
Sven-Göran Eriksson,Q218369,1948-02-05T00:00:00Z,Sweden,
Eugenio Corini,Q511092,1970-07-30T00:00:00Z,Italy,
Gianfranco Zola,Q9354,1966-07-05T00:00:00Z,Italy,
Rudi Völler,Q44464,1960-04-13T00:00:00Z,Germany,
Giuseppe Meazza,Q192131,1910-08-23T00:00:00Z,Italy,
Daniel Passarella,Q15802,1953-05-25T00:00:00Z,Argentina,
Alessandro Nesta,Q227892,1976-03-19T00:00:00Z,Italy,
Clarence Seedorf,Q484909,1976-04-01T00:00:00Z,Kingdom of the Netherlands,
Luis Enrique,Q222789,1970-05-08T00:00:00Z,Spain,
Andriy Shevchenko,Q41244,1976-09-29T00:00:00Z,Ukraine,
Claudio Ranieri,Q235068,1951-10-20T00:00:00Z,Italy,
Fabio Capello,Q183108,1946-06-18T00:00:00Z,Italy,
Jesse Carver,Q654036,1911-07-07T00:00:00Z,England,
Frank de Boer,Q219657,1970-05-15T00:00:00Z,Kingdom of the Netherlands,
David Platt,Q312143,1966-06-10T00:00:00Z,United Kingdom,
Rafa Benítez,Q144048,1960-04-16T00:00:00Z,Spain,
Gennaro Gattuso,Q116980,1978-01-09T00:00:00Z,Italy,
Igor Tudor,Q276544,1978-04-16T00:00:00Z,Croatia,
José Mourinho,Q79983,1963-01-26T00:00:00Z,Portugal,
Giovanni Trapattoni,Q44420,1939-03-17T00:00:00Z,Italy,
Filippo Inzaghi,Q126503,1973-08-09T00:00:00Z,Italy,
Roberto Donadoni,Q294718,1963-09-09T00:00:00Z,Italy,
Fabio Cannavaro,Q102027,1973-09-13T00:00:00Z,Italy,
Paolo Vanoli,Q3362674,1972-08-12T00:00:00Z,Italy,
Gunnar Nordahl,Q110111,1921-10-19T00:00:00Z,Sweden,
Guillermo Stábile,Q309645,1905-01-17T00:00:00Z,Argentina,
Gunnar Gren,Q314511,1920-10-31T00:00:00Z,Sweden,
Leonardo Araújo,Q46741,1969-09-05T00:00:00Z,Brazil,
Diego Simeone,Q258115,1970-04-28T00:00:00Z,Argentina,
Carlo Ancelotti,Q174614,1959-06-10T00:00:00Z,Italy,
Cristian Chivu,Q210491,1980-10-26T00:00:00Z,Romania,
Fatih Terim,Q262203,1953-09-04T00:00:00Z,Turkey,
Siniša Mihajlović,Q294351,1969-02-20T00:00:00Z,Serbia,
Walter Zenga,Q294302,1960-04-28T00:00:00Z,Italy,Romania
Tarcisio Burgnich,Q503297,1939-04-25T00:00:00Z,Italy,
Giovanni Ferrari,Q382987,1907-12-06T00:00:00Z,Italy,
Annibale Frossi,Q2754863,1911-08-06T00:00:00Z,Italy,
Luis Suárez,Q270367,1935-05-02T00:00:00Z,Spain,
Roberto Mancini,Q48330,1964-11-27T00:00:00Z,Italy,
Vincenzo Montella,Q297768,1974-06-18T00:00:00Z,Italy,
Paulo Sousa,Q314440,1970-08-30T00:00:00Z,Portugal,
Alfredo Foni,Q469096,1911-01-20T00:00:00Z,Italy,
Luigi Di Biagio,Q314053,1971-06-03T00:00:00Z,Italy,
Nils Liedholm,Q312633,1922-10-08T00:00:00Z,Sweden,
Marcello Lippi,Q43304,1948-04-12T00:00:00Z,Italy,
Mircea Lucescu,Q342698,1945-07-29T00:00:00Z,Romania,
Bruno Conti,Q355923,1955-03-13T00:00:00Z,Italy,
Giorgio Ghezzi,Q2739058,1930-07-11T00:00:00Z,Italy,
Daniele De Rossi,Q168497,1983-07-24T00:00:00Z,Italy,
Carlos Bianchi,Q449873,1949-04-26T00:00:00Z,Argentina,
Andrea Pirlo,Q43926,1979-05-19T00:00:00Z,Italy,
Massimo brambella,Q342484,1971-09-03T00:00:00Z,Uruguay,
Cesare Maldini,Q296350,1932-02-05T00:00:00Z,Italy,
Vittorio Pozzo,Q318041,1886-03-02T00:00:00Z,Italy,
Ciro Ferrara,Q314078,1967-02-11T00:00:00Z,Italy,
Cesare Prandelli,Q218380,1957-08-19T00:00:00Z,Italy,
Luigi Delneri,Q332742,1950-08-23T00:00:00Z,Italy,
Dejan Stanković,Q192640,1978-09-11T00:00:00Z,Serbia,
Thiago Motta,Q191885,1982-08-28T00:00:00Z,Italy,Brazil
Roy Hodgson,Q203781,1947-08-09T00:00:00Z,United Kingdom,
Mauro Tassotti,Q312999,1960-01-19T00:00:00Z,Italy,
Zdeněk Zeman,Q169092,1947-05-12T00:00:00Z,Czech Republic,
Walter Novellino,Q1335292,1953-06-04T00:00:00Z,Italy,
Marcelo Bielsa,Q31575,1955-07-21T00:00:00Z,Argentina,
Helenio Herrera,Q310078,1910-04-10T00:00:00Z,France,Argentina
