coach_qid,entity_qid,startDate,endDate
Q180661,Q2913263,1986-01-01T00:00:00Z,1988-01-01T00:00:00Z
Q180661,Q1422,1988-01-01T00:00:00Z,1990-01-01T00:00:00Z
Q180661,Q2609,1990-01-01T00:00:00Z,1994-01-01T00:00:00Z
Q180661,Q2609,1997-01-01T00:00:00Z,1997-01-01T00:00:00Z
Q180661,Q676899,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z
Q180661,Q2609,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z
Q180661,Q2052,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z
Q68039,Q13391,,
Q218369,Q1140767,1977-01-01T00:00:00Z,1977-12-31T00:00:00Z
Q218369,Q201567,1979-01-01T00:00:00Z,1982-06-30T00:00:00Z
Q218369,Q131499,1982-07-01T00:00:00Z,1984-06-30T00:00:00Z
Q218369,Q2739,1984-07-01T00:00:00Z,1987-05-04T00:00:00Z
Q218369,Q2052,1987-07-01T00:00:00Z,1989-06-30T00:00:00Z
Q218369,Q131499,1989-07-01T00:00:00Z,1992-06-30T00:00:00Z
Q218369,Q1457,1992-07-01T00:00:00Z,1997-06-30T00:00:00Z
Q218369,Q2609,1997-07-01T00:00:00Z,1999-12-31T00:00:00Z
Q218369,Q47762,2001-01-12T00:00:00Z,2006-07-31T00:00:00Z
Q218369,Q50602,2007-07-06T00:00:00Z,2008-06-02T00:00:00Z
Q218369,Q164089,2008-08-20T00:00:00Z,2009-04-02T00:00:00Z
Q218369,Q175145,2010-03-29T00:00:00Z,2010-08-03T00:00:00Z
Q218369,Q19481,2010-10-02T00:00:00Z,2011-10-24T00:00:00Z
Q218369,Q1192340,2013-06-04T00:00:00Z,2014-11-10T00:00:00Z
Q218369,Q564216,2014-11-18T00:00:00Z,2016-11-03T00:00:00Z
Q218369,Q1139956,2015-12-05T00:00:00Z,2017-06-13T00:00:00Z
Q218369,Q219854,2018-10-27T00:00:00Z,2019-01-25T00:00:00Z
Q511092,Q6651,2018-09-18T00:00:00Z,2019-11-03T00:00:00Z
Q511092,Q6651,2019-12-02T00:00:00Z,
Q9354,Q9616,,
Q44464,Q104761,,
Q44464,Q43310,2023-09-10T00:00:00Z,2023-09-22T00:00:00Z
Q44464,Q1050607,2023-09-10T00:00:00Z,2023-09-22T00:00:00Z
Q192131,Q1886,1946-01-01T00:00:00Z,1946-01-01T00:00:00Z
Q192131,Q631,1946-01-01T00:00:00Z,1948-01-01T00:00:00Z
Q192131,Q172567,1948-01-01T00:00:00Z,1949-01-01T00:00:00Z
