coach_qid,startDate,endDate,origin,League
Q174614,1999-02-01T00:00:00Z,2001-06-17T00:00:00Z,Italian,Italy
Q180661,1988-01-01T00:00:00Z,1990-01-01T00:00:00Z,Italian,Italy
Q183108,2004-05-29T00:00:00Z,2006-07-04T00:00:00Z,Italian,Italy
Q191885,2024-07-01T00:00:00Z,2025-03-23T00:00:00Z,Italian,Italy
Q235068,2007-07-01T00:00:00Z,2009-05-18T00:00:00Z,Italian,Italy
Q26580,2011-05-31T00:00:00Z,2012-06-30T00:00:00Z,Italian,Italy
Q26580,2012-12-09T00:00:00Z,2014-07-15T00:00:00Z,Italian,Italy
Q276544,2025-03-23T00:00:00Z,,Foreign,Italy
Q354529,2014-07-16T00:00:00Z,2019-06-16T00:00:00Z,Italian,Italy
Q354529,2021-07-01T00:00:00Z,2024-05-17T00:00:00Z,Italian,Italy
Q3852721,2019-06-16T00:00:00Z,2020-08-08T00:00:00Z,Italian,Italy
Q43304,1994-07-01T00:00:00Z,1999-02-07T00:00:00Z,Italian,Italy
Q43304,2001-07-01T00:00:00Z,2004-05-28T00:00:00Z,Italian,Italy
Q43926,2020-08-01T00:00:00Z,2021-05-01T00:00:00Z,Italian,Italy
Q44420,1976-07-01T00:00:00Z,1986-05-03T00:00:00Z,Italian,Italy
Q44420,1991-07-01T00:00:00Z,1994-06-30T00:00:00Z,Italian,Italy
Q1024171,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z,Italian,Italy
Q1337031,1980-07-01T00:00:00Z,1982-01-25T00:00:00Z,Italian,Italy
Q169092,1994-07-01T00:00:00Z,1997-01-27T00:00:00Z,Foreign,Italy
Q180661,1990-01-01T00:00:00Z,1994-01-01T00:00:00Z,Italian,Italy
Q180661,1997-01-01T00:00:00Z,1997-01-01T00:00:00Z,Italian,Italy
Q180661,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,Italian,Italy
Q218369,1997-07-01T00:00:00Z,1999-12-31T00:00:00Z,Foreign,Italy
Q2537282,1985-07-01T00:00:00Z,1986-06-30T00:00:00Z,Italian,Italy
Q276544,2024-03-18T00:00:00Z,2024-06-05T00:00:00Z,Foreign,Italy
Q314670,2016-04-03T00:00:00Z,2021-05-27T00:00:00Z,Italian,Italy
Q3852721,2021-06-09T00:00:00Z,2024-03-12T00:00:00Z,Italian,Italy
Q48330,2002-07-01T00:00:00Z,2004-06-30T00:00:00Z,Italian,Italy
