coach_qid,team_qid,team_label,startDate,endDate,League
Q180661,Q2798,Udinese Calcio,1961-01-01T00:00:00Z,1963-01-01T00:00:00Z,Italy
Q180661,Q430993,Mantova FC,1963-01-01T00:00:00Z,1967-01-01T00:00:00Z,Italy
Q180661,Q2641,SSC Napoli,1967-01-01T00:00:00Z,1972-01-01T00:00:00Z,Italy
Q180661,Q676899,Italy men's national association football team,1968-01-01T00:00:00Z,1983-01-01T00:00:00Z,Italy
Q180661,Q1422,Juventus FC,1972-01-01T00:00:00Z,1983-01-01T00:00:00Z,Italy
Q68039,Q167781,Zawisza Bydgoszcz,1973-01-01T00:00:00Z,1975-01-01T00:00:00Z,Poland
Q68039,Q244981,RTS Widzew Łódź,1975-01-01T00:00:00Z,1982-01-01T00:00:00Z,Poland
Q68039,Q166196,Poland men's national football team,1976-01-01T00:00:00Z,1988-01-01T00:00:00Z,Poland
Q68039,Q1422,Juventus FC,1982-01-01T00:00:00Z,1985-01-01T00:00:00Z,Italy
Q68039,Q2739,A.S. Roma,1985-01-01T00:00:00Z,1988-01-01T00:00:00Z,Italy
Q218369,Q1672796,SK Sifhälla,1971-01-01T00:00:00Z,1972-01-01T00:00:00Z,Sweden
Q218369,Q1136337,KB Karlskoga FF,1972-01-01T00:00:00Z,1973-01-01T00:00:00Z,Sweden
Q218369,Q597992,Västra Frölunda IF,1973-01-01T00:00:00Z,1975-01-01T00:00:00Z,Sweden
Q511092,Q6651,Brescia Calcio,1986-01-01T00:00:00Z,1990-01-01T00:00:00Z,Italy
Q511092,Q922698,Italy national under-21 football team,1988-01-01T00:00:00Z,1992-01-01T00:00:00Z,Italy
Q511092,Q1422,Juventus FC,1990-01-01T00:00:00Z,1992-01-01T00:00:00Z,Italy
Q511092,Q1457,U.C. Sampdoria,1992-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q511092,Q2641,SSC Napoli,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,Italy
Q511092,Q6651,Brescia Calcio,1994-01-01T00:00:00Z,1995-01-01T00:00:00Z,Italy
Q511092,Q459794,Piacenza Calcio,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q511092,Q8639,Hellas Verona FC,1996-01-01T00:00:00Z,1998-01-01T00:00:00Z,Italy
Q511092,Q2037,AC ChievoVerona,1998-01-01T00:00:00Z,2003-01-01T00:00:00Z,Italy
Q511092,Q2674,Palermo F.C.,2003-01-01T00:00:00Z,2007-01-01T00:00:00Z,Italy
Q511092,Q2768,Torino FC,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,Italy
Q9354,Q779148,Nuorese Calcio,1984-01-01T00:00:00Z,1986-01-01T00:00:00Z,Italy
Q9354,Q963110,S.E.F. Torres 1903,1986-01-01T00:00:00Z,1989-01-01T00:00:00Z,Italy
Q9354,Q2641,SSC Napoli,1989-01-01T00:00:00Z,1993-01-01T00:00:00Z,Italy
Q9354,Q676899,Italy men's national association football team,1991-01-01T00:00:00Z,1997-01-01T00:00:00Z,Italy
Q9354,Q2693,Parma Calcio 1913,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q9354,Q9616,Chelsea F.C.,1996-01-01T00:00:00Z,2003-01-01T00:00:00Z,United Kingdom
Q9354,Q1900,Cagliari Calcio,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z,Italy
Q44464,Q159936,Kickers Offenbach,1977-01-01T00:00:00Z,1980-01-01T00:00:00Z,Germany
Q44464,Q314851,Germany national under-21 football team,1979-01-01T00:00:00Z,1982-01-01T00:00:00Z,Germany
Q44464,Q131603,TSV 1860 München,1980-01-01T00:00:00Z,1982-01-01T00:00:00Z,Germany
Q44464,Q822990,Germany national football B team,1980-01-01T00:00:00Z,1980-01-01T00:00:00Z,Germany
Q44464,Q43310,Germany men's national association football team,1982-01-01T00:00:00Z,1994-01-01T00:00:00Z,Germany
Q44464,Q51976,SV Werder Bremen,1982-01-01T00:00:00Z,1987-01-01T00:00:00Z,Germany
Q44464,Q2739,A.S. Roma,1987-01-01T00:00:00Z,1992-01-01T00:00:00Z,Italy
Q44464,Q132885,Olympique de Marseille,1992-01-01T00:00:00Z,1994-01-01T00:00:00Z,France
Q44464,Q104761,Bayer 04 Leverkusen,1994-01-01T00:00:00Z,1996-01-01T00:00:00Z,Germany
Q192131,Q631,Inter Milan,1927-01-01T00:00:00Z,1940-01-01T00:00:00Z,Italy
Q192131,Q676899,Italy men's national association football team,1930-01-01T00:00:00Z,1939-01-01T00:00:00Z,Italy
Q192131,Q1543,AC Milan,1940-01-01T00:00:00Z,1942-01-01T00:00:00Z,Italy
Q192131,Q1422,Juventus FC,1942-01-01T00:00:00Z,1943-01-01T00:00:00Z,Italy
Q192131,Q8633,Varese Calcio,1944-01-01T00:00:00Z,1944-01-01T00:00:00Z,Italy
Q192131,Q1886,Atalanta BC,1945-01-01T00:00:00Z,1946-01-01T00:00:00Z,Italy
Q192131,Q631,Inter Milan,1946-01-01T00:00:00Z,1947-01-01T00:00:00Z,Italy
Q15802,Q519966,Club Atlético Sarmiento,1971-01-01T00:00:00Z,1973-01-01T00:00:00Z,Argentina
Q15802,Q79800,Argentina men's national association football team,1974-01-01T00:00:00Z,1986-01-01T00:00:00Z,Argentina
Q15802,Q980573,Club Atlético River Plate,1974-01-01T00:00:00Z,1982-01-01T00:00:00Z,Uruguay
Q15802,Q2052,ACF Fiorentina,1982-01-01T00:00:00Z,1986-01-01T00:00:00Z,Italy
Q15802,Q631,Inter Milan,1986-01-01T00:00:00Z,1988-01-01T00:00:00Z,Italy
Q15802,Q980573,Club Atlético River Plate,1988-01-01T00:00:00Z,1989-01-01T00:00:00Z,Uruguay
Q227892,Q2609,SS Lazio,1993-01-01T00:00:00Z,2002-01-01T00:00:00Z,Italy
Q227892,Q3873513,Italy national under-18 football team,1994-01-01T00:00:00Z,1995-01-01T00:00:00Z,Italy
Q227892,Q922698,Italy national under-21 football team,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q227892,Q676899,Italy men's national association football team,1996-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italy
Q227892,Q1543,AC Milan,2002-01-01T00:00:00Z,2012-01-01T00:00:00Z,Italy
Q227892,Q17594408,Chennaiyin FC,2014-11-28T00:00:00Z,2014-01-01T00:00:00Z,India
Q227892,Q167615,CF Montréal,2030-01-01T00:00:00Z,2013-01-01T00:00:00Z,Canada
Q484909,Q81888,AFC Ajax,1992-01-01T00:00:00Z,1995-01-01T00:00:00Z,Netherlands
Q484909,Q1811026,Netherlands national under-21 football team,1993-01-01T00:00:00Z,1993-01-01T00:00:00Z,Netherlands
Q484909,Q47050,Netherlands national association football team,1994-01-01T00:00:00Z,2008-01-01T00:00:00Z,Netherlands
Q484909,Q1457,U.C. Sampdoria,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q484909,Q8682,Real Madrid CF,1996-01-01T00:00:00Z,1999-01-01T00:00:00Z,Spain
Q484909,Q631,Inter Milan,2000-01-01T00:00:00Z,2003-01-01T00:00:00Z,Italy
Q484909,Q1543,AC Milan,2002-01-01T00:00:00Z,2011-01-01T00:00:00Z,Italy
Q484909,Q80958,Botafogo F.R.,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,Brazil
Q222789,Q2982210,Sporting de Gijón B,1988-01-01T00:00:00Z,1990-01-01T00:00:00Z,Spain
Q222789,Q12278,Sporting Gijón,1989-01-01T00:00:00Z,1991-01-01T00:00:00Z,Spain
Q222789,Q1129595,Spain national under-21 association football team,1990-01-01T00:00:00Z,1991-01-01T00:00:00Z,Spain
Q222789,Q8682,Real Madrid CF,1991-01-01T00:00:00Z,1996-01-01T00:00:00Z,Spain
Q222789,Q2637337,Spain national under-23 football team,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,Spain
Q222789,Q42267,Spain men's national football team,1991-01-01T00:00:00Z,2002-01-01T00:00:00Z,Spain
Q222789,Q7156,FC Barcelona,1996-01-01T00:00:00Z,2004-01-01T00:00:00Z,Spain
