coach_qid,coach_name,team_qid,team_name,played_there
Q180661,Dino Zoff,Q2913263,Italy national under-23 football team,0
Q180661,Dino Zoff,Q1422,Juventus FC,1
Q180661,Dino Zoff,Q2609,SS Lazio,0
Q180661,Dino Zoff,Q2609,SS Lazio,0
Q180661,Dino Zoff,Q676899,Italy men's national association football team,1
Q180661,Dino Zoff,Q2609,SS Lazio,0
Q180661,Dino Zoff,Q2052,ACF Fiorentina,0
Q68039,Zbigniew Boniek,Q13391,US Lecce,0
Q218369,Sven-Göran Eriksson,Q1140767,Degerfors IF,0
Q218369,Sven-Göran Eriksson,Q201567,IFK Göteborg,0
Q218369,Sven-Göran Eriksson,Q131499,S.L. Benfica,0
Q218369,Sven-Göran Eriksson,Q2739,A.S. Roma,0
Q218369,Sven-Göran Eriksson,Q2052,ACF Fiorentina,0
Q218369,Sven-Göran Eriksson,Q131499,S.L. Benfica,0
Q218369,Sven-Göran Eriksson,Q1457,U.C. Sampdoria,0
Q218369,Sven-Göran Eriksson,Q2609,SS Lazio,0
Q218369,Sven-Göran Eriksson,Q47762,England men's national association football team,0
Q218369,Sven-Göran Eriksson,Q50602,Manchester City F.C.,0
Q218369,Sven-Göran Eriksson,Q164089,Mexico men's national football team,0
Q218369,Sven-Göran Eriksson,Q175145,Ivory Coast men's national football team,0
Q218369,Sven-Göran Eriksson,Q19481,Leicester City F.C.,0
Q218369,Sven-Göran Eriksson,Q1192340,Guangzhou City F.C.,0
Q218369,Sven-Göran Eriksson,Q564216,Shanghai Port F.C.,0
Q218369,Sven-Göran Eriksson,Q1139956,Shenzhen F.C.,0
Q218369,Sven-Göran Eriksson,Q219854,Philippines men's national association football team,0
Q511092,Eugenio Corini,Q6651,Brescia Calcio,1
Q511092,Eugenio Corini,Q6651,Brescia Calcio,1
Q9354,Gianfranco Zola,Q9616,Chelsea F.C.,1
Q44464,Rudi Völler,Q104761,Bayer 04 Leverkusen,1
Q44464,Rudi Völler,Q43310,Germany men's national association football team,1
Q44464,Rudi Völler,Q1050607,caretaker manager,0
Q192131,Giuseppe Meazza,Q1886,Atalanta BC,1
Q192131,Giuseppe Meazza,Q631,Inter Milan,1
Q192131,Giuseppe Meazza,Q172567,Beşiktaş J.K.,0
Q192131,Giuseppe Meazza,Q777337,Aurora Pro Patria 1919,0
Q192131,Giuseppe Meazza,Q676899,Italy men's national association football team,1
Q192131,Giuseppe Meazza,Q631,Inter Milan,1
Q192131,Giuseppe Meazza,Q631,Inter Milan,1
Q15802,Daniel Passarella,Q768253,Club de Fútbol Monterrey,0
Q227892,Alessandro Nesta,Q19984972,Miami FC,0
Q227892,Alessandro Nesta,Q16344,A.C. Perugia Calcio,0
Q227892,Alessandro Nesta,Q845043,Frosinone Calcio,0
Q227892,Alessandro Nesta,Q289707,A.C. Reggiana 1919,0
Q227892,Alessandro Nesta,Q289482,AC Monza,0
Q484909,Clarence Seedorf,Q1543,AC Milan,1
Q484909,Clarence Seedorf,Q8760,Deportivo de La Coruña,0
Q222789,Luis Enrique,Q10467,FC Barcelona Atlètic,0
Q222789,Luis Enrique,Q2739,A.S. Roma,0
Q222789,Luis Enrique,Q8749,RC Celta de Vigo,0
Q222789,Luis Enrique,Q7156,FC Barcelona,1
Q222789,Luis Enrique,Q42267,Spain men's national football team,1
Q222789,Luis Enrique,Q42267,Spain men's national football team,1
Q222789,Luis Enrique,Q483020,Paris Saint-Germain FC,0
Q41244,Andriy Shevchenko,Q170403,Ukraine men's national football team,1
Q41244,Andriy Shevchenko,Q2074,Genoa CFC,0
Q235068,Claudio Ranieri,Q1948889,Vigor Lamezia,0
Q235068,Claudio Ranieri,Q15140971,S.S.D. Puteolana 1902 Internapoli,0
Q235068,Claudio Ranieri,Q15140971,S.S.D. Puteolana 1902 Internapoli,0
Q235068,Claudio Ranieri,Q1900,Cagliari Calcio,0
Q235068,Claudio Ranieri,Q2641,SSC Napoli,0
Q235068,Claudio Ranieri,Q2052,ACF Fiorentina,0
Q235068,Claudio Ranieri,Q10333,Valencia CF,0
Q235068,Claudio Ranieri,Q8701,Atlético de Madrid,0
Q235068,Claudio Ranieri,Q9616,Chelsea F.C.,0
Q235068,Claudio Ranieri,Q10333,Valencia CF,0
Q235068,Claudio Ranieri,Q2693,Parma Calcio 1913,0
Q235068,Claudio Ranieri,Q1422,Juventus FC,0
Q235068,Claudio Ranieri,Q2739,A.S. Roma,1
Q235068,Claudio Ranieri,Q631,Inter Milan,0
Q235068,Claudio Ranieri,Q180305,AS Monaco FC,0
Q235068,Claudio Ranieri,Q134925,Greece men's national football team,0
Q235068,Claudio Ranieri,Q19481,Leicester City F.C.,0
Q235068,Claudio Ranieri,Q192071,FC Nantes,0
Q235068,Claudio Ranieri,Q18708,Fulham F.C.,0
Q235068,Claudio Ranieri,Q2739,A.S. Roma,1
Q235068,Claudio Ranieri,Q1457,U.C. Sampdoria,0
Q235068,Claudio Ranieri,Q2714,Watford F.C.,0
Q235068,Claudio Ranieri,Q1900,Cagliari Calcio,0
Q235068,Claudio Ranieri,Q2739,A.S. Roma,1
