Qid,Name,League
Q2913263,Italy national under-23 football team,National
Q1422,Juventus FC,Italy
Q2609,SS Lazio,Italy
Q676899,Italy men's national association football team,National
Q2052,ACF Fiorentina,Italy
Q13391,US Lecce,Italy
Q1140767,Degerfors IF,Sweden
Q201567,IFK Göteborg,Sweden
Q131499,S.L. Benfica,Portugal
Q2739,A.S. Roma,Italy
Q1457,U.C. Sampdoria,Italy
Q47762,England men's national association football team,National
Q50602,Manchester City F.C.,United Kingdom
Q164089,Mexico men's national football team,National
Q175145,Ivory Coast men's national football team,National
Q19481,Leicester City F.C.,United Kingdom
Q1192340,Guangzhou City F.C.,People's Republic of China
Q564216,Shanghai Port F.C.,People's Republic of China
Q1139956,Shenzhen F.C.,People's Republic of China
Q219854,Philippines men's national association football team,National
Q6651,Brescia Calcio,Italy
Q9616,Chelsea F.C.,United Kingdom
Q104761,Bayer 04 Leverkusen,Germany
Q43310,Germany men's national association football team,National
Q1886,Atalanta BC,Italy
Q631,Inter Milan,Italy
Q172567,Beşiktaş J.K.,Turkey
Q777337,Aurora Pro Patria 1919,Italy
Q768253,Club de Fútbol Monterrey,Mexico
Q19984972,Miami FC,United States
Q16344,A.C. Perugia Calcio,Italy
Q845043,Frosinone Calcio,Italy
Q289707,A.C. Reggiana 1919,Italy
Q289482,AC Monza,Italy
Q1543,AC Milan,Italy
Q8760,Deportivo de La Coruña,Spain
Q10467,FC Barcelona Atlètic,Spain
Q8749,RC Celta de Vigo,Spain
Q7156,FC Barcelona,Spain
Q42267,Spain men's national football team,National
Q483020,Paris Saint-Germain FC,France
Q170403,Ukraine men's national football team,National
Q2074,Genoa CFC,Italy
Q1948889,Vigor Lamezia,Italy
Q15140971,S.S.D. Puteolana 1902 Internapoli,Italy
Q1900,Cagliari Calcio,Italy
Q2641,SSC Napoli,Italy
Q10333,Valencia CF,Spain
Q8701,Atlético de Madrid,Spain
Q2693,Parma Calcio 1913,Italy
Q180305,AS Monaco FC,Monaco
Q134925,Greece men's national football team,National
Q192071,FC Nantes,France
Q18708,Fulham F.C.,United Kingdom
Q2714,Watford F.C.,United Kingdom
Q3299830,A.C. Milan Primavera,Italy
Q8682,Real Madrid CF,Spain
Q726080,Russia men's national football team,National
Q925648,Jiangsu F.C.,People's Republic of China
Q19487,Millwall F.C.,United Kingdom
Q47050,Netherlands national association football team,National
Q81888,AFC Ajax,Netherlands
Q19467,Crystal Palace F.C.,United Kingdom
Q16836317,Atlanta United FC,United States
Q19490,Nottingham Forest F.C.,United Kingdom
Q6101985,Real Madrid Juvenil,Spain
Q12217,Real Madrid Castilla,Spain
Q10319,Real Valladolid,Spain
Q10286,Club Atlético Osasuna,Spain
Q994224,Extremadura UD,Spain
Q216661,C.D. Tenerife,Spain
Q1130849,Liverpool F.C.,United Kingdom
Q18716,Newcastle United F.C.,United Kingdom
Q1157920,Dalian Professional F.C.,People's Republic of China
Q5794,Everton F.C.,United Kingdom
Q2674,Palermo F.C.,Italy
Q931704,O.F.I. Crete F.C.,Greece
Q289613,Pisa SC,Italy
Q132885,Olympique de Marseille,France
Q181216,HNK Hajduk Split,Croatia
Q204888,P.A.O.K. F.C.,Greece
Q301332,Kardemir Karabükspor,Turkey
Q495299,Galatasaray S.K.,Turkey
Q2798,Udinese Calcio,Italy
Q8639,Hellas Verona FC,Italy
Q211401,U.D. Leiria,Portugal
Q128446,FC Porto,Portugal
Q18656,Manchester United F.C.,United Kingdom
Q18741,Tottenham Hotspur F.C.,United Kingdom
Q6601875,Fenerbahçe Istanbul,Turkey
Q15789,FC Bayern Munich,Germany
Q4512,VfB Stuttgart,Germany
Q994811,FC Red Bull Salzburg,Austria
Q163547,Republic of Ireland men's national association football team,National
Q501245,Venezia F.C.,Italy
Q1893,Bologna F.C. 1909,Italy
Q652516,Benevento Calcio,Italy
Q8476,AS Reggina 1914,Italy
Q847587,U.S. Salernitana 1919,Italy
Q944876,Calcio Lecco 1912,Italy
Q6767,US Livorno 1915,Italy
Q130521,Guangzhou F.C.,People's Republic of China
Q172803,GNK Dinamo Zagreb,Croatia
Q276533,Racing Club,Argentina
Q214940,Estudiantes de La Plata,Argentina
Q15799,Club Atlético River Plate,Argentina
Q218282,San Lorenzo de Almagro,Argentina
Q2018,Catania FC,Italy
Q83459,Brazil men's national football team,National
Q492826,MKE Ankaragücü,Turkey
Q1423118,Göztepe S.K.,Turkey
Q1624749,Turkey national under-21 football team,National
Q483856,Turkey men's national football team,National
Q4122219,Panathinaikos F.C.,Greece
Q2636005,Al-Shabab Football Club,Saudi Arabia
Q182740,Serbia men's national football team,National
Q2768,Torino FC,Italy
Q75729,Sporting CP,Portugal
Q309095,New England Revolution,United States
Q25230762,Brera Calcio,Italy
Q1195647,FC Progresul București,Romania
Q179658,FCSB,Romania
Q173009,FK Crvena zvezda,Serbia
Q285722,Gaziantepspor,Turkey
Q204237,FC Dinamo Bucharest,Romania
Q482764,Al-Nassr,Saudi Arabia
Q812723,Al-Nasr SC,United Arab Emirates
Q429630,Al Jazira Club,United Arab Emirates
Q812740,Al-Shaab CSC,United Arab Emirates
Q19500,Wolverhampton Wanderers F.C.,United Kingdom
Q6690,F.C. Crotone,Italy
Q1191998,Emirates Club,United Arab Emirates
Q29108,FC Zenit Saint Petersburg,Russia
Q189723,Saudi Arabia men's national football team,National
Q10329,Sevilla FC,Spain
